match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1144483,2019-05-30,Kennington Oval,England,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144484,2019-05-31,Trent Bridge,Pakistan,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144485,2019-06-01,Sophia Gardens,Sri Lanka,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144487,2019-06-02,Kennington Oval,Bangladesh,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144488,2019-06-03,Trent Bridge,Pakistan,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144490,2019-06-05,The Rose Bowl,South Africa,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144491,2019-06-05,Kennington Oval,Bangladesh,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144492,2019-06-06,Trent Bridge,Australia,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144494,2019-06-08,Sophia Gardens,England,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144496,2019-06-09,Kennington Oval,India,Australia,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144497,2019-06-10,The Rose Bowl,South Africa,West Indies,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144499,2019-06-12,The Cooper Associates County Ground,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144501,2019-06-14,The Rose Bowl,West Indies,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144502,2019-06-15,Kennington Oval,Australia,Sri Lanka,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144504,2019-06-16,Old Trafford,India,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144505,2019-06-17,The Cooper Associates County Ground,West Indies,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144507,2019-06-19,Edgbaston,South Africa,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144508,2019-06-20,Trent Bridge,Australia,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144509,2019-06-21,Headingley,Sri Lanka,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144511,2019-06-22,Old Trafford,New Zealand,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144512,2019-06-23,Lord's,Pakistan,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144514,2019-06-25,Lord's,Australia,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144515,2019-06-26,Edgbaston,New Zealand,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144516,2019-06-27,Old Trafford,India,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144517,2019-06-28,Riverside Ground,Sri Lanka,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144519,2019-06-29,Lord's,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144520,2019-06-30,Edgbaston,England,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144521,2019-07-01,Riverside Ground,Sri Lanka,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144522,2019-07-02,Edgbaston,India,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144523,2019-07-03,Riverside Ground,England,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144525,2019-07-05,Lord's,Pakistan,Bangladesh,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144526,2019-07-06,Headingley,Sri Lanka,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144527,2019-07-06,Old Trafford,South Africa,Australia,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
1144528,2019-07-09,Old Trafford,New Zealand,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,World Cup,True
