match_id,date,venue,team,opposition,season_year,season_month,gender,match_type,toss_won,toss_decision_bat,toss_decision_field,team_team_batting_avg,team_team_strike_rate,team_team_total_runs,team_elite_batsmen,team_star_batsmen,team_power_hitters,team_team_bowling_avg,team_team_economy,team_team_total_wickets,team_elite_bowlers,team_star_bowlers,team_all_rounder_count,team_wicketkeeper_count,team_elite_players,team_star_players,team_avg_star_rating,team_team_balance,team_team_depth,team_known_players_count,opp_team_batting_avg,opp_team_strike_rate,opp_team_total_runs,opp_elite_batsmen,opp_star_batsmen,opp_power_hitters,opp_team_bowling_avg,opp_team_economy,opp_team_total_wickets,opp_elite_bowlers,opp_star_bowlers,opp_all_rounder_count,opp_wicketkeeper_count,opp_elite_players,opp_star_players,opp_avg_star_rating,opp_team_balance,opp_team_depth,opp_known_players_count,batting_advantage,star_advantage,elite_advantage,total_runs
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,2016,9,male,ODI,1,0,1,20.62,61.82,1899,0,1,0,29.3,5.03,78,3,2,5,0,0,2,5.5,0.704,3,7,20.94,71.15,10589,0,1,0,50.36,4.73,274,1,4,6,1,0,3,5.15,0.416,4,10,-29.74,-1,0,136
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,2016,9,male,ODI,0,0,1,20.94,71.15,10589,0,1,0,50.36,4.73,274,1,4,6,1,0,3,5.15,0.416,4,10,20.62,61.82,1899,0,1,0,29.3,5.03,78,3,2,5,0,0,2,5.5,0.704,3,7,-8.36,1,0,153
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,2016,9,male,ODI,0,1,0,20.62,61.82,1899,0,1,0,29.3,5.03,78,3,2,5,0,0,2,5.5,0.704,3,7,20.07,74.84,11294,0,1,1,47.79,4.73,331,1,5,7,1,0,3,5.2,0.42,3,10,-27.17,-1,0,213
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Scotland,Hong Kong,2016,9,male,ODI,1,1,0,20.07,74.84,11294,0,1,1,47.79,4.73,331,1,5,7,1,0,3,5.2,0.42,3,10,20.62,61.82,1899,0,1,0,29.3,5.03,78,3,2,5,0,0,2,5.5,0.704,3,7,-9.23,1,0,266
1007649,2016-06-11,Harare Sports Club,India,Zimbabwe,2016,6,male,ODI,1,0,1,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,19.69,61.97,19070,0,0,0,49.91,5.31,352,0,2,6,0,0,1,4.75,0.395,3,10,-27.83,2,0,173
1007649,2016-06-11,Harare Sports Club,Zimbabwe,India,2016,6,male,ODI,0,0,1,19.69,61.97,19070,0,0,0,49.91,5.31,352,0,2,6,0,0,1,4.75,0.395,3,10,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,-14.86,-2,0,168
1007651,2016-06-13,Harare Sports Club,India,Zimbabwe,2016,6,male,ODI,1,0,1,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,20.02,63.29,20574,0,0,0,49.9,5.26,419,0,3,7,0,0,2,4.9,0.401,3,10,-27.82,1,0,129
1007651,2016-06-13,Harare Sports Club,Zimbabwe,India,2016,6,male,ODI,0,0,1,20.02,63.29,20574,0,0,0,49.9,5.26,419,0,3,7,0,0,2,4.9,0.401,3,10,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,-14.53,-1,0,126
1007653,2016-06-15,Harare Sports Club,India,Zimbabwe,2016,6,male,ODI,0,1,0,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,16.2,59.38,13750,0,0,0,50.93,5.43,265,0,1,7,0,0,0,4.3,0.318,1,10,-28.85,3,0,126
1007653,2016-06-15,Harare Sports Club,Zimbabwe,India,2016,6,male,ODI,1,1,0,16.2,59.38,13750,0,0,0,50.93,5.43,265,0,1,7,0,0,0,4.3,0.318,1,10,22.08,79.52,17310,0,2,1,34.55,4.95,358,2,2,4,2,0,3,5.61,0.639,4,9,-18.35,-3,0,123
