venue_id,venue_name,stadium,city
166,"Narendra Modi Stadium, Ahmedabad",Narendra Modi Stadium,Ahmedabad
167,National Cricket Stadium,National Cricket Stadium,
168,"National Cricket Stadium, Grenada",National Cricket Stadium,Grenada
169,"National Cricket Stadium, St George's",National Cricket Stadium,St George's
170,National Stadium,National Stadium,
171,"National Stadium, Karachi",National Stadium,Karachi
172,Nehru Stadium,Nehru Stadium,
173,"Nehru Stadium, Fatorda",Nehru Stadium,Fatorda
174,"Nehru Stadium, Poona",Nehru Stadium,Poona
175,New Wanderers Stadium,New Wanderers Stadium,
176,"New Wanderers Stadium, Johannesburg",New Wanderers Stadium,Johannesburg
177,Newlands,Newlands,
178,"Newlands, Cape Town",Newlands,Cape Town
179,"Niaz Stadium, Hyderabad",Niaz Stadium,Hyderabad
180,"North West Cricket Stadium, Potchefstroom",North West Cricket Stadium,Potchefstroom
181,OUTsurance Oval,OUTsurance Oval,
182,Old Hararians,Old Hararians,
183,Old Hararians Sports Club,Old Hararians Sports Club,
184,Old Trafford,Old Trafford,
185,"Old Trafford, Manchester",Old Trafford,Manchester
186,P Saravanamuttu Stadium,P Saravanamuttu Stadium,
187,Pallekele International Cricket Stadium,Pallekele International Cricket Stadium,
188,Perth Stadium,Perth Stadium,
189,Providence Stadium,Providence Stadium,
190,"Providence Stadium, Guyana",Providence Stadium,Guyana
191,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium,Mohali
192,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Cricket Association IS Bindra Stadium,Mohali
193,"Punjab Cricket Association Stadium, Mohali",Punjab Cricket Association Stadium,Mohali
194,"Queen's Park (New), St George's, Grenada",Queen's Park (New),St George's
195,"Queen's Park Oval, Port of Spain",Queen's Park Oval,Port of Spain
196,"Queen's Park Oval, Port of Spain, Trinidad",Queen's Park Oval,Port of Spain
197,"Queen's Park Oval, Trinidad",Queen's Park Oval,Trinidad
198,Queens Sports Club,Queens Sports Club,
