Model,Test R²,Test RMSE,Test MAE,Test Accuracy (±10),Training Time (s),CV R² Mean
linear_regression,0.6515622706242428,26.993538441993074,18.935769864470007,38.2,0.23453640937805176,0.6701360043097413
random_forest,0.7534934951053229,22.704472812751817,16.578838204925468,39.4,68.75172972679138,0.7713829289340464
xgboost,0.7164405584335327,24.351140165169884,17.85307502746582,36.4,5.735099792480469,0.7826072573661804
