match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_boundaries_4s,team_boundaries_6s,team_players_count,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_runs_std,venue_matches,venue_min_runs,venue_max_runs,venue_avg_rr,venue_rr_std,venue_avg_boundaries,venue_total_boundaries,venue_high_scoring,opp_avg_runs,opp_runs_std,opp_matches,opp_avg_rr,opp_rr_std,opp_avg_boundaries,opp_total_boundaries,team_balance,venue_advantage
1003849,Cape Cobras,1,141,0,123,20.5,6.878048780487805,9,6,3,9,"Boland Park, Paarl",Paarl,2016-11-16,Titans,Titans,"['JA Morkel', 'CJ Dala']","['Cape Cobras', 'Titans']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,145.83,7.33,6,139,159,7.14,0.39,11.5,69,0,139.74,29.27,19,7.92,1.92,15.84,301,0.6,-2.2419492385786555
1003849,Titans,2,142,0,120,20.0,7.1,12,10,1,11,"Boland Park, Paarl",Paarl,2016-11-16,Cape Cobras,Titans,"['JA Morkel', 'CJ Dala']","['Cape Cobras', 'Titans']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,145.83,7.33,6,139,159,7.14,0.39,11.5,69,0,141.47,59.99,15,7.7,1.57,15.73,236,0.6,-2.2419492385786555
1003855,Knights,1,185,0,128,21.333333333333332,8.671875,11,12,11,23,"Willowmoore Park, Benoni",Benoni,2016-11-18,Titans,Titans,"['JA Morkel', 'DA Miller']","['Knights', 'Titans']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,164.75,33.12,4,116,186,9.56,2.03,21.0,84,1,139.74,29.27,19,7.92,1.92,15.84,301,0.6,16.678050761421332
1003855,Titans,2,186,0,127,21.166666666666668,8.78740157480315,12,17,7,24,"Willowmoore Park, Benoni",Benoni,2016-11-18,Knights,Titans,"['JA Morkel', 'DA Miller']","['Knights', 'Titans']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,164.75,33.12,4,116,186,9.56,2.03,21.0,84,1,142.22,47.54,18,7.84,1.64,17.06,307,0.6,16.678050761421332
1003857,Titans,1,185,0,123,20.5,9.024390243902438,8,11,6,17,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Dolphins,Titans,"['F Behardien', 'S von Berg']","['Titans', 'Dolphins']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,28.0,11,86,185,7.74,1.27,16.18,178,0,147.87,42.94,15,8.46,1.69,17.07,256,0.6,-0.3419492385786782
1003857,Dolphins,2,127,0,126,21.0,6.0476190476190474,8,7,1,8,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Titans,Titans,"['F Behardien', 'S von Berg']","['Titans', 'Dolphins']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,28.0,11,86,185,7.74,1.27,16.18,178,0,139.74,29.27,19,7.92,1.92,15.84,301,0.6,-0.3419492385786782
1003859,Warriors,1,157,0,126,21.0,7.476190476190476,7,18,3,21,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Knights,Warriors,"['C Jonker', 'BD Walters']","['Warriors', 'Knights']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,28.0,11,86,185,7.74,1.27,16.18,178,0,142.22,47.54,18,7.84,1.64,17.06,307,0.6,-0.3419492385786782
1003859,Knights,2,115,0,111,18.5,6.216216216216216,3,10,0,10,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Warriors,Warriors,"['C Jonker', 'BD Walters']","['Warriors', 'Knights']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,28.0,11,86,185,7.74,1.27,16.18,178,0,145.15,32.7,20,8.19,2.32,15.1,302,0.6,-0.3419492385786782
1003861,Lions,1,165,0,121,20.166666666666668,8.181818181818182,20,9,6,15,"Senwes Park, Potchefstroom",Potchefstroom,2016-11-20,Cape Cobras,Lions,"['AM Phangiso', 'M Mosehle']","['Lions', 'Cape Cobras']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,38.09,8,66,170,7.89,1.59,13.0,104,0,141.47,59.99,15,7.7,1.57,15.73,236,0.6,-19.191949238578673
1003861,Cape Cobras,2,66,0,36,6.0,11.0,3,6,3,9,"Senwes Park, Potchefstroom",Potchefstroom,2016-11-20,Lions,Lions,"['AM Phangiso', 'M Mosehle']","['Lions', 'Cape Cobras']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,38.09,8,66,170,7.89,1.59,13.0,104,0,150.67,41.12,15,8.17,1.47,16.73,251,0.6,-19.191949238578673
1003865,Lions,1,152,0,128,21.333333333333332,7.125,14,8,4,12,"St George's Park, Port Elizabeth",Port Elizabeth,2016-11-25,Warriors,Warriors,"['C Jonker', 'JT Smuts']","['Lions', 'Warriors']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,22.19,12,93,157,7.15,0.98,15.25,183,0,145.15,32.7,20,8.19,2.32,15.1,302,0.6,-10.321949238578668
