Model,Training_Time,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_Rel_Error,Test_Rel_Error,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_RMSE_Std
Linear Regression,0.022687,0.6785446669916266,0.6821755686823077,24.517756504194068,24.184845321507876,18.02759079961612,17.797060613898665,17.964675202439683,17.81995135873679,0.6755110052208042,0.015399001627729817,24.624884848960214,0.596827641490969
Random Forest,2.239963,0.849578944657389,0.7228382587375843,16.771608868395955,22.584803451918443,12.394183388447326,16.245156668830806,11.458253121233506,15.693486611642445,0.7282607003994888,0.012839364202128164,22.536781387840044,0.6357893438357345
XGBoost,0.542858,0.8811627626419067,0.765217661857605,14.907221924387176,20.78654919512631,11.151803970336914,15.249632835388184,10.471774522037396,14.531639073664815,0.7634022831916809,0.00801042355307239,21.031082143982825,0.4411038682419216
